FileName,Font,Text,Split
file_11472.png,Helvetica,Theatre,train
file_14533.png,Calibri,Joke,train
file_2737.png,Garamond,Booth,train
file_5630.png,Bookman,Site,train
file_1569.png,Lobster,Somerset,train
file_9036.png,Candara,Adultery,train
file_11980.png,Garamond,Counts,train
file_18909.png,Candara,Genre,train
file_17641.png,SegoeUI,Pots,train
file_5361.png,SegoeUI,Baker,train
file_2875.png,LucidaSans,Chan,train
file_8641.png,ComicSansMS,Florence,train
file_5262.png,Verdana,Fellows,train
file_13778.png,Garamond,Stat,train
file_3069.png,Arial,Ounces,train
file_7207.png,FranclinGothic,Cape,train
file_3266.png,Verdana,Respect,train
file_9253.png,TimesNewRoman,Bus,train
file_17310.png,Georgia,Georg,train
file_14888.png,SegoeUI,Drug,train
file_14641.png,SegoeUI,Relics,train
file_13549.png,Helvetica,Kirk,train
file_4732.png,Verdana,Cycles,train
file_15038.png,Candara,Skin,train
file_18626.png,SegoeUI,Dislike,train
file_6530.png,LucidaSans,Keeper,train
file_9558.png,Lobster,Sao,train
file_3096.png,LucidaSans,Baggage,train
file_12382.png,Candara,Fights,train
file_5304.png,TimesNewRoman,Rite,train
file_15319.png,Palatino,Neighbor,train
file_14929.png,Helvetica,Note,train
file_13160.png,CourierNew,Theses,train
file_3880.png,SegoeUI,Breast,train
file_3843.png,MS_Sans_Serif,Caldwell,train
file_14364.png,Candara,Clinton,train
file_16523.png,CenturyGothic,Brahman,train
file_3782.png,Palatino,Robbery,train
file_8821.png,MS_Sans_Serif,Purposes,train
file_8791.png,Lobster,Algae,train
file_4149.png,TimesNewRoman,Elite,train
file_19026.png,FranclinGothic,Devices,train
file_4906.png,Helvetica,Dictator,train
file_7957.png,TimesNewRoman,Verbs,train
file_7316.png,FranclinGothic,Tooth,train
file_9533.png,CenturyGothic,Markings,train
file_4528.png,Candara,Forum,train
file_6190.png,LucidaSans,Midwest,train
file_10123.png,TrebuchetMS,Belly,train
file_18464.png,ComicSansMS,Myths,train
file_1851.png,Bookman,Calendar,train
file_9688.png,CourierNew,Blossoms,train
file_5727.png,SegoeUI,Diamond,train
file_5897.png,TimesNewRoman,Revenue,train
file_55.png,MonotypeCorsiva,Virgin,train
file_6886.png,Lobster,Carpet,train
file_15926.png,Garamond,Select,train
file_3225.png,Lobster,Antigen,train
file_8645.png,LucidaSans,Extremes,train
file_14914.png,CourierNew,Guitar,train
file_5603.png,CourierNew,Summons,train
file_19978.png,Helvetica,Tubing,train
file_1199.png,FranclinGothic,Custody,train
file_1946.png,SegoeUI,Smoke,train
file_13711.png,TimesNewRoman,Adult,train
file_2090.png,Bookman,Sailors,train
file_5824.png,MS_Sans_Serif,Reynolds,train
file_203.png,LucidaSans,Reviews,train
file_17507.png,Palatino,Sages,train
file_2537.png,MonotypeCorsiva,Thinkers,train
file_13254.png,TrebuchetMS,Holding,train
file_9456.png,Calibri,Advanced,train
file_8655.png,Palatino,Chester,train
file_2974.png,CenturyGothic,Odds,train
file_11254.png,CenturyGothic,Jurors,train
file_10681.png,Lobster,Bailey,train
file_14491.png,LucidaSans,Truth,train
file_14452.png,SegoeUI,Pretext,train
file_3383.png,Calibri,Passes,train
file_16959.png,LucidaSans,Hanover,train
file_1838.png,CenturyGothic,Suture,train
file_9967.png,Verdana,Thirties,train
file_6611.png,LucidaSans,Institut,train
file_16481.png,LucidaSans,Gifts,train
file_19077.png,Georgia,Examiner,train
file_16882.png,FranclinGothic,Dams,train
file_17877.png,Candara,Amber,train
file_16142.png,Garamond,Thrill,train
file_141.png,Candara,Voltaire,train
file_7242.png,FranclinGothic,Abdul,train
file_3626.png,Georgia,Ron,train
file_1234.png,Calibri,Spectral,train
file_10839.png,FranclinGothic,Rainbow,train
file_5068.png,LucidaSans,Leo,train
file_3624.png,Palatino,Smiles,train
file_14540.png,LucidaSans,Gujarat,train
file_2865.png,ComicSansMS,Watch,train
file_15956.png,Lobster,Toast,train
file_7106.png,LucidaSans,Olds,train
file_11510.png,Georgia,Emperor,train
file_17340.png,SegoeUI,Reforms,train
file_4622.png,TimesNewRoman,Prophet,train
file_4863.png,TimesNewRoman,Belly,train
file_2892.png,MS_Sans_Serif,Britain,train
file_9396.png,Palatino,Reagents,train
file_7953.png,Candara,Ally,train
file_4099.png,TimesNewRoman,Crosses,train
file_17985.png,Palatino,Growers,train
file_7209.png,TimesNewRoman,Pilgrim,train
file_1215.png,Calibri,Leg,train
file_6521.png,Verdana,Lowell,train
file_17040.png,FranclinGothic,Figure,train
file_1205.png,LucidaSans,Guests,train
file_1083.png,CourierNew,Compass,train
file_2522.png,CourierNew,Dickens,train
file_5948.png,Helvetica,Penguin,train
file_6685.png,Verdana,Teacher,train
file_16356.png,CenturyGothic,Edward,train
file_2337.png,CenturyGothic,Unesco,train
file_15308.png,MonotypeCorsiva,Taylor,train
file_14650.png,Arial,Uruguay,train
file_9889.png,CenturyGothic,Throne,train
file_16930.png,ComicSansMS,Verbs,train
file_10.png,Calibri,Arts,train
file_17701.png,LucidaSans,Template,train
file_12809.png,Bookman,Headache,train
file_3030.png,CourierNew,Taiwan,train
file_696.png,TrebuchetMS,Ballad,train
file_7700.png,MS_Sans_Serif,Ducks,train
file_14587.png,Garamond,Bliss,train
file_2156.png,TimesNewRoman,Wells,train
file_7244.png,Georgia,Heinrich,train
file_1492.png,Verdana,Raja,train
file_18978.png,MS_Sans_Serif,Cedar,train
file_13525.png,TrebuchetMS,Incision,train
file_18401.png,Lobster,Health,train
file_17203.png,ComicSansMS,Pencil,train
file_8077.png,Garamond,Beatrice,train
file_11483.png,FranclinGothic,Silence,train
file_6696.png,SegoeUI,Oslo,train
file_15106.png,Bookman,American,train
file_5303.png,CourierNew,Guru,train
file_12986.png,Georgia,Tracy,train
file_19190.png,LucidaSans,Shoulder,train
file_772.png,Palatino,Destiny,train
file_12199.png,LucidaSans,Airplane,train
file_14789.png,Calibri,Keeper,train
file_13548.png,CenturyGothic,Boards,train
file_3944.png,Helvetica,Lincoln,train
file_4250.png,ComicSansMS,Div,train
file_10782.png,MS_Sans_Serif,Miguel,train
file_870.png,Bookman,Charge,train
file_3378.png,TimesNewRoman,Summary,train
file_7724.png,Garamond,Lordship,train
file_17515.png,Bookman,Fluids,train
file_13583.png,CourierNew,Theaters,train
file_9246.png,Georgia,Reserves,train
file_6284.png,Arial,Leipzig,train
file_2851.png,Bookman,Tricks,train
file_10759.png,MS_Sans_Serif,Graduate,train
file_4008.png,Palatino,Theater,train
file_17072.png,Lobster,Blame,train
file_9442.png,Arial,Setting,train
file_18857.png,ComicSansMS,Keller,train
file_456.png,MS_Sans_Serif,Cart,train
file_4109.png,Bookman,Branches,train
file_16531.png,Bookman,Benjamin,train
file_11674.png,Helvetica,Applause,train
file_14173.png,Candara,Dans,train
file_13006.png,MonotypeCorsiva,Thoughts,train
file_16335.png,Georgia,Weapon,train
file_1075.png,Bookman,Turns,train
file_8585.png,Calibri,Opera,train
file_3848.png,Helvetica,Summer,train
file_3396.png,Verdana,Scott,train
file_11386.png,LucidaSans,Island,train
file_18087.png,MonotypeCorsiva,Groom,train
file_12010.png,Verdana,Upper,train
file_17475.png,Bookman,Bosnia,train
file_17693.png,CenturyGothic,Lecturer,train
file_13192.png,TrebuchetMS,Influx,train
file_2949.png,MonotypeCorsiva,Square,train
file_14996.png,CourierNew,Ulster,train
file_17159.png,TimesNewRoman,Oracle,train
file_6573.png,CenturyGothic,Wives,train
file_10280.png,Helvetica,Emulsion,train
file_1689.png,MS_Sans_Serif,Pill,train
file_13191.png,MonotypeCorsiva,Deposit,train
file_7417.png,Bookman,Changing,train
file_14378.png,Georgia,Humility,train
file_3658.png,CenturyGothic,Entity,train
file_13894.png,LucidaSans,Unions,train
file_13431.png,Garamond,Annum,train
file_17648.png,Arial,Assaults,train
file_12957.png,Palatino,Gains,train
file_3287.png,MS_Sans_Serif,Liquids,train
file_1756.png,MonotypeCorsiva,Manning,train
file_9652.png,MS_Sans_Serif,Harlem,train
file_6937.png,Bookman,Allied,train
file_12037.png,SegoeUI,Format,train
file_13612.png,Helvetica,Div,train
file_10947.png,Calibri,Vehicles,train
file_13660.png,LucidaSans,Sydney,train
file_9143.png,MS_Sans_Serif,Panama,train
file_16270.png,Palatino,Guidance,train
